mes,nom_usina,cod_razaorestricao,curtailment_mwh,generation_mwh,pct_curtailment,last_instante
2025-01,ALEGRIA I,CNF,27.439499999999995,391.337,0.07011731576620661,2025-01-31 14:30:00
2025-01,ALEGRIA I,ENE,524.1145,1275.7615,0.41082482893550243,2025-01-26 16:30:00
2025-01,ALEGRIA I,NAN,0.0,5927.8205,0.0,2025-01-31 23:30:00
2025-01,ALEGRIA I,REL,0.0,50.1525,0.0,2025-01-11 17:00:00
2025-01,ALEGRIA II,CNF,52.687,711.8445,0.07401476024609306,2025-01-31 14:30:00
2025-01,ALEGRIA II,ENE,1182.1845,2380.3535,0.4966424104655044,2025-01-26 16:30:00
2025-01,ALEGRIA II,NAN,0.0,10326.503,0.0,2025-01-31 23:30:00
2025-01,ALEGRIA II,REL,3.096499999999999,108.743,0.02847539611745123,2025-01-11 17:00:00
2025-01,CATAVENTOS ACARAÚ I,ENE,0.0,0.0,0.0,2025-01-26 15:00:00
2025-01,CATAVENTOS ACARAÚ I,NAN,0.0,0.0,0.0,2025-01-31 23:30:00
2025-01,CATAVENTOS ACARAÚ I,REL,0.0,0.0,0.0,2025-01-31 22:30:00
2025-01,CONJ. ACARAÚ II,ENE,236.605,1293.3925,0.18293364156665515,2025-01-26 16:30:00
2025-01,CONJ. ACARAÚ II,NAN,0.0,4884.531,0.0,2025-01-31 23:30:00
2025-01,CONJ. ACARAÚ II,REL,85.6785,205.188,0.41756096847768875,2025-01-31 22:30:00
2025-01,CONJ. ACAUÃ,ENE,632.4565,1946.248,0.3249619267431489,2025-01-26 16:30:00
2025-01,CONJ. ACAUÃ,NAN,0.0,16391.6125,0.0,2025-01-31 23:30:00
2025-01,CONJ. AFONSO BEZERRA,CNF,221.311,1986.8515,0.11138779118620591,2025-01-31 14:30:00
2025-01,CONJ. AFONSO BEZERRA,ENE,1437.6565,4930.053,0.29161075955978566,2025-01-26 14:30:00
